[AGNHY813],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
,,,ウ 処    理     場     費(千円),,,,,,0,,(27),,,,,,,,,,0,(13)
,費,,エ 流域下水道建設費負担金(千円),,,,,,0,,(28),,,,,,,,,,0,(14)
,,,オ そ        の        他(千円),,,,,,0,,(29),,,,,,,,,,0,(15)
,,(2) 補  助  対  象  事  業 費(千円),,,,,,,0,,(30),,,,,,,,,,0,(16)
,,(1) 下  水  管  布  設  延  長 (km),,,,,,,0,,(31),,,,,,,,,,0,(17)
,9.,,ア 汚         水         管(km),,,,,,0,,(32),,,,,,,,,,0,(18)
,,,イ 雨         水         管(km),,,,,,0,,(33),,,,,,,,,,,
,管,,ウ 合         流         管(km),,,,,,0,,(34),,　　※02行06列、07列は自動計算,,,,,,,,,
,,,エ 汚         水         管(km),,,,,,0,,(35),,,,,,,,,,,
,渠,,オ 雨         水         管(km),,,,,,0,,(36),,,,,,,,,,,
,,,カ 合         流         管(km),,,,,,0,,(37),,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,
